"NARATIVE","ORD","LATITUDE","LONGITUDE"
"SECA NORTH AMERICA EAST COAST",14,50.670833333333,-48.267777777778
"SECA NORTH AMERICA EAST COAST",15,50.041111111111,-48.1175
"SECA NORTH AMERICA EAST COAST",16,49.400833333333,-48.159722222222
"SECA NORTH AMERICA EAST COAST",17,48.656111111111,-47.921388888889
"SECA NORTH AMERICA EAST COAST",18,47.406944444444,-47.782222222222
"SECA NORTH AMERICA EAST COAST",19,46.586666666667,-48.015
"SECA NORTH AMERICA EAST COAST",20,45.329166666667,-48.724444444444
"SECA NORTH AMERICA EAST COAST",21,44.727222222222,-49.280555555556
"SECA NORTH AMERICA EAST COAST",22,44.277222222222,-49.856388888889
"SECA NORTH AMERICA EAST COAST",23,43.8875,-50.566944444444
"SECA NORTH AMERICA EAST COAST",24,43.601666666667,-51.344722222222
"SECA NORTH AMERICA EAST COAST",25,43.399722222222,-52.289444444444
"SECA NORTH AMERICA EAST COAST",26,43.330555555556,-53.336944444444
"SECA NORTH AMERICA EAST COAST",27,43.353888888889,-54.155555555556
"SECA NORTH AMERICA EAST COAST",28,43.494722222222,-55.128055555556
"SECA NORTH AMERICA EAST COAST",29,42.67,-55.528888888889
"SECA NORTH AMERICA EAST COAST",30,41.971944444444,-56.159444444444
"SECA NORTH AMERICA EAST COAST",31,41.339166666667,-57.086944444444
"SECA NORTH AMERICA EAST COAST",32,40.926111111111,-58.048611111111
"SECA NORTH AMERICA EAST COAST",33,40.693888888889,-59.088333333333
"SECA NORTH AMERICA EAST COAST",34,40.6425,-60.205555555556
"SECA NORTH AMERICA EAST COAST",35,40.762777777778,-61.234166666667
"SECA NORTH AMERICA EAST COAST",36,41.081111111111,-62.296944444444
"SECA NORTH AMERICA EAST COAST",37,40.615277777778,-63.180277777778
"SECA NORTH AMERICA EAST COAST",38,40.292222222222,-64.143611111111
"SECA NORTH AMERICA EAST COAST",39,40.129444444444,-64.991944444444
"SECA NORTH AMERICA EAST COAST",40,40.095555555556,-65.885277777778
"SECA NORTH AMERICA EAST COAST",41,39.968055555556,-65.9975
"SECA NORTH AMERICA EAST COAST",42,39.473333333333,-66.353888888889
"SECA NORTH AMERICA EAST COAST",43,39.031666666667,-66.809166666667
"SECA NORTH AMERICA EAST COAST",44,38.654444444444,-67.349722222222
"SECA NORTH AMERICA EAST COAST",45,38.322222222222,-68.033611111111
"SECA NORTH AMERICA EAST COAST",46,38.091388888889,-68.781944444444
"SECA NORTH AMERICA EAST COAST",47,37.970555555556,-69.568611111111
"SECA NORTH AMERICA EAST COAST",48,37.963055555556,-70.4025
"SECA NORTH AMERICA EAST COAST",49,37.879444444444,-70.630555555556
"SECA NORTH AMERICA EAST COAST",50,37.310277777778,-71.1425
"SECA NORTH AMERICA EAST COAST",51,36.540277777778,-71.566388888889
"SECA NORTH AMERICA EAST COAST",52,35.582777777778,-71.433888888889
"SECA NORTH AMERICA EAST COAST",53,34.552777777778,-71.617777777778
"SECA NORTH AMERICA EAST COAST",54,33.913611111111,-71.876388888889
"SECA NORTH AMERICA EAST COAST",55,33.323055555556,-72.286666666667
"SECA NORTH AMERICA EAST COAST",56,32.758611111111,-72.901388888889
"SECA NORTH AMERICA EAST COAST",57,31.920277777778,-74.200555555556
"SECA NORTH AMERICA EAST COAST",58,31.453888888889,-75.255555555556
"SECA NORTH AMERICA EAST COAST",59,31.054444444444,-75.855
"SECA NORTH AMERICA EAST COAST",60,30.761666666667,-76.527222222222
